regions,day,text,img,url
서울,2022-11-21,학군으로 버티던 '강남·목동'도 안전지대 아니다,https://s.pstatic.net/imgnews/image/thumb100/014/2022/11/21/4930779.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=014&arti_id=0004930779
서울,2022-11-21,강남 신통기획 1호 대치 미도 결국 50층 재건축 길 열렸다,https://s.pstatic.net/imgnews/image/thumb100/011/2022/11/20/4124285.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=011&arti_id=0004124285
경기,2022-11-21,‘준강남’ 과천도 거래절벽에 신음… 올 한해 ‘66건’,https://s.pstatic.net/imgnews/image/thumb100/277/2022/11/21/5180270.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=277&arti_id=0005180270
경기,2022-11-21,"""지하철은 반갑지만""…김포 집주인들 '기대 반 걱정 반'",https://s.pstatic.net/imgnews/image/thumb100/015/2022/11/15/4774824.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=015&arti_id=0004774824
부산,2022-11-23,부산 조정지역 어디 해제될까…북·사하구 모든 요건 충족,https://s.pstatic.net/imgnews/image/thumb100/658/2022/09/09/19720.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=658&arti_id=0000019720
부산,2022-11-23,부산 아파트 매매가 10년 1개월 만에 최대폭 하락,https://s.pstatic.net/imgnews/image/thumb100/014/2022/08/31/4891554.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=014&arti_id=0004891554
서울,2022-11-23,‘10억이나’ 강남 중 송파지역 유독 뚝뚝...대장아파트도 무너져,https://s.pstatic.net/imgnews/image/thumb100/243/2022/11/22/34691.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=243&arti_id=0000034691
인천,2022-11-23,'3기 신도시' 첫 테이프 끊는 계양…2026년까지 1.7만가구 공급,https://s.pstatic.net/imgnews/image/thumb100/011/2022/11/14/4122017.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=011&arti_id=0004122017
인천,2022-11-23,송도 84㎡ 1년새 5억 뚝 … 은마는 20억선 무너져,https://s.pstatic.net/imgnews/image/thumb100/009/2022/11/03/5039861.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=009&arti_id=0005039861
대전,2022-11-23,"대구시, 주택 임대차 신고 과태료 부과 1년 더 유예",https://s.pstatic.net/imgnews/image/thumb100/421/2022/05/04/6070807.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=421&arti_id=0006070807
대전,2022-11-23,"대전시, 대덕평촌지구 지원시설용지 4필지 추가 공급",https://s.pstatic.net/imgnews/image/thumb100/421/2022/03/14/5967079.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=421&arti_id=0005967079
대구,2022-11-23,대구 아파트 낙찰가율 80%선 붕괴 초읽기…저가 매수 행렬 이어질까 [심은지의 경매 인사이트],https://s.pstatic.net/imgnews/image/thumb100/015/2022/09/19/4751214.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=015&arti_id=0004751214
대구,2022-11-23,"대구 달서구 주민들, 성서행정타운 터 매각 반대(종합)",https://s.pstatic.net/imgnews/image/thumb100/001/2022/08/10/13366461.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=001&arti_id=0013366461
울산,2022-11-23,"LH, 울산다운2지구 신혼희망타운 공급",https://s.pstatic.net/imgnews/image/thumb100/018/2022/08/17/5294008.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=018&arti_id=0005294008
울산,2022-11-23,"울산시, '미이전 시유재산 찾기' 전개…첫해 1천196억 발굴",https://s.pstatic.net/imgnews/image/thumb100/001/2022/04/15/13116935.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=001&arti_id=0013116935
세종,2022-11-23,"세종시, 집값 곤두박질 치더니…""찬밥 신세 됐다"" 무슨 일? [심은지의 경매 인사이트]",https://s.pstatic.net/imgnews/image/thumb100/015/2022/10/30/4769071.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=015&arti_id=0004769071
세종,2022-11-23,세종시 아파트값 우수수... 7% 이상 떨어져 ‘전국1위’,https://s.pstatic.net/imgnews/image/thumb100/421/2022/09/15/6334736.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=421&arti_id=0006334736
광주,2022-11-23,광주송정역 일대 토지거래 허가제 연장,https://s.pstatic.net/imgnews/image/thumb100/016/2022/08/25/2032686.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=016&arti_id=0002032686
광주,2022-11-23,광주∼대구 연계 8대 프로젝트 발전계획 확정,https://s.pstatic.net/imgnews/image/thumb100/003/2021/11/18/10841342.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=003&arti_id=0010841342
강원,2022-11-23,"춘천시, 동산면 원창1지구 지적재조사 마무리",https://s.pstatic.net/imgnews/image/thumb100/001/2022/08/25/13397432.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=001&arti_id=0013397432
강원,2022-11-23,포항~삼척 등 영남권 9개 철도사업 “올해 8060억원 투입”,https://s.pstatic.net/imgnews/image/thumb100/014/2022/06/20/4854304.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=014&arti_id=0004854304
충북,2022-11-23,청주시 등 전국 곳곳 규제지역 해제 요구,https://s.pstatic.net/imgnews/image/thumb100/417/2022/04/25/807097.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=417&arti_id=0000807097
충북,2022-11-23,사라진 단양-심곡 1.7㎞ 복합관광시설로 개발… 6월 20일까지 사업자 공모,https://s.pstatic.net/imgnews/image/thumb100/016/2021/12/30/1931007.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=016&arti_id=0001931007
충남,2022-11-23,"보령시, 청년 주택자금 대출이자 지원…연간 최대 300만원",https://s.pstatic.net/imgnews/image/thumb100/001/2022/01/10/12908692.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=001&arti_id=0012908692
충남,2022-11-23,11년 만에 완공…내달 1일 국내 최장 바닷길 보령해저터널 개통,https://s.pstatic.net/imgnews/image/thumb100/016/2021/11/26/1917368.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=016&arti_id=0001917368
경남,2022-11-23,[함양소식] '여행을 일상처럼' 함양 온데이 프로그램 운영,https://s.pstatic.net/imgnews/image/thumb100/001/2022/05/10/13168107.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=001&arti_id=0013168107
경북,2022-11-23,"국토부, 경주·의성·장수에 '고령자복지주택' 공급",https://s.pstatic.net/imgnews/image/thumb100/003/2022/06/07/11232199.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=003&arti_id=0011232199
경남,2022-11-23,"전북대·창원대, 캠퍼스 혁신파크 신규사업지 선정",https://s.pstatic.net/imgnews/image/thumb100/119/2022/06/09/2610999.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=119&arti_id=0002610999
전북,2022-11-23,"전주시, 부동산 조정대상지역 해제 요청…""청약시장까지 위축""",https://s.pstatic.net/imgnews/image/thumb100/001/2022/09/16/13442383.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=001&arti_id=0013442383
전북,2022-11-23,"장수군, 청년 월세 20만원 특별지원…22일부터 신청",https://s.pstatic.net/imgnews/image/thumb100/421/2022/08/18/6284137.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=421&arti_id=0006284137
전남,2022-11-23,광양시 '도로건설 관리계획·농어촌도로 기본계획' 용역 착수,https://s.pstatic.net/imgnews/image/thumb100/421/2022/09/15/6335513.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=421&arti_id=0006335513
전남,2022-11-23,"전남 신안에 마리나단지, 충남 예산에 청년외식창업거리 조성된다",https://s.pstatic.net/imgnews/image/thumb100/020/2022/08/01/3443254.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=020&arti_id=0003443254
제주,2022-11-23,"제주도, 청·장년 근로자 주거 제공 중소기업에 월 30만원 지원",https://s.pstatic.net/imgnews/image/thumb100/001/2021/08/24/12616535.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=001&arti_id=0012616535
제주,2022-11-23,"제주시, 오등봉·중부 도시공원 민간 특례사업 추진 '박차'",https://s.pstatic.net/imgnews/image/thumb100/001/2021/06/11/12453413.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=001&arti_id=0012453413
